OR462801.1,Laos,XBB.1.16,partial
OR462802.1,Laos,FY.3,partial
OR462803.1,Laos,XBB.1.16,partial
OR462804.1,Laos,FL.2,partial
OR462805.1,Laos,FL.2,partial
OR462806.1,Laos,XBB.1.16.2,partial
OR462807.1,Laos,FL.2,partial
OR462808.1,Laos,XBB.1.16,partial
OR462809.1,Laos,XBB.1.16.1,partial
OR462810.1,Laos,GR.1,partial
OR462811.1,Laos,EG.5.1.1,partial
OR462812.1,Laos,XBB.1.16.2,partial
OR462813.1,Laos,XBB.1.16.2,partial
OR458720.1,Viet Nam,XBB.1.16,partial
OR458721.1,Viet Nam,XBB.1.16.2,partial
OR458722.1,Viet Nam,XBB.2.3.11,complete
OR458723.1,Viet Nam,XBB.1.16,partial
OR458724.1,Viet Nam,XBB.1.16.2,partial
OR458725.1,Viet Nam,XBB.1.16.2,partial
OR458726.1,Viet Nam,FL.1.4,partial
OR458727.1,Viet Nam,XBB.1.16.2,partial
OR458728.1,Viet Nam,XBB.1.16.2,partial
OR458729.1,Viet Nam,XBB.1.5,partial
OR458730.1,Viet Nam,EG.1,partial
OR458731.1,Viet Nam,XBB.1.16.2,partial
OR458732.1,Viet Nam,XBB.1.16.2,partial
OR458733.1,Viet Nam,BA.2.3.2,partial
OR458734.1,Viet Nam,XBB.1.16.2,partial
OR458735.1,Viet Nam,XBB.1.16.2,partial
OR458736.1,Viet Nam,EG.1,partial
OR458737.1,Viet Nam,FL.4.3,partial
OR458738.1,Viet Nam,FL.1.4,partial
OR458739.1,Viet Nam,XBB.1.16.2,partial
OR458740.1,Viet Nam,XBB.1.16,partial
OR458741.1,Viet Nam,XBB.1.16.2,partial
OR458742.1,Viet Nam,XBB.1.16.2,partial
OR458743.1,Viet Nam,XBB.1.16.2,partial
OR458744.1,Viet Nam,GR.1,partial
OR458745.1,Viet Nam,XBB.1.16.2,partial
OR458746.1,Viet Nam,XBB.1.9.1,partial
OR458747.1,Viet Nam,GR.1,partial
OR458748.1,Viet Nam,XBB.1.16.2,partial
OR458749.1,Viet Nam,FL.1,partial
OR458750.1,Viet Nam,XBB.1.16.2,partial
OR458751.1,Viet Nam,XBB.1.16.2,partial
OR458752.1,Viet Nam,XBB.1.16.2,partial
OR458753.1,Viet Nam,FP.4,partial
OR458754.1,Viet Nam,GR.1,partial
OR458755.1,Viet Nam,XBB.1.16.2,partial
OR458756.1,Viet Nam,EG.1,partial
OR458757.1,Viet Nam,XBB.1.16.2,partial
OR458758.1,Viet Nam,XBB.1.16.2,partial
OR458759.1,Viet Nam,XBB.1.16,partial
OR458760.1,Viet Nam,XBB.1.16.2,partial
OR458761.1,Viet Nam,XBB.2.3,complete
OR458762.1,Viet Nam,XBB.1.16.2,partial
OR458763.1,Viet Nam,GR.1,partial
OR458764.1,Viet Nam,XBB.1.16.2,partial
OR458765.1,Viet Nam,XBB.1.16.2,partial
OR458766.1,Viet Nam,XBB.1.16.1,partial
OR458767.1,Viet Nam,XBB.1.5,partial
OR458768.1,Viet Nam,XBB.1.16,partial
OR458769.1,Viet Nam,FL.1.4,partial
OR458770.1,Viet Nam,GR.1,partial
OR458771.1,Viet Nam,GE.1,complete
OR458772.1,Viet Nam,XBB.1.16,partial
OR458773.1,Viet Nam,XBB.1.5,partial
OR458774.1,Viet Nam,XBB.1.16.2,partial
OR458775.1,Viet Nam,XBB.1.16.2,partial
OR458776.1,Viet Nam,EG.2,partial
OR458777.1,Viet Nam,XBB.2.3.11,complete
OR458778.1,Viet Nam,XBB.1.16.2,partial
OR458779.1,Viet Nam,XBB.1.16.2,partial
OR458780.1,Viet Nam,XBB.1.16.2,partial
OR458781.1,Viet Nam,XBB.1.16.2,partial
OR458782.1,Viet Nam,XBB.1.16,partial
OR458783.1,Viet Nam,XBB.1.16,partial
OR458784.1,Viet Nam,XBB.1.16.2,partial
OR458785.1,Viet Nam,FL.1.4,partial
OR458786.1,Viet Nam,FL.1.4,partial
OR458787.1,Viet Nam,FL.4,partial
OR458788.1,Viet Nam,EG.2,partial
OR458789.1,Viet Nam,XBB.1.16.2,partial
OR458790.1,Viet Nam,EG.2,partial
OR458791.1,Viet Nam,XBB.1.16.2,partial
OR458792.1,Viet Nam,XBB.1.16.1,partial
OR458793.1,Viet Nam,XBB.1.16.2,partial
OR458794.1,Viet Nam,XBB.1.16.2,partial
OR458795.1,Viet Nam,XBB.1.16.2,partial
OR458796.1,Viet Nam,XBB.1.16.2,partial
OR458797.1,Viet Nam,XBB.1.16,partial
OR447552.1,South Korea,B.1.497,complete
OR447493.1,Thailand,XBB.1.5,partial
OR447494.1,Thailand,XBB.2.3.11,partial
OR447495.1,Thailand,XBB.1.16,partial
OR447496.1,Thailand,XBB.2.3.11,partial
OR447497.1,Thailand,XBB.1.16,partial
OR447498.1,Thailand,XBB.1.16,partial
OR447499.1,Thailand,XBB.1.16.2,partial
OR447500.1,Thailand,XBB.1.16,partial
OR447501.1,Thailand,XBB.1.16,partial
OR447502.1,Thailand,XBB.1.16,partial
OR447503.1,Thailand,XBB.1.16,partial
OR447504.1,Thailand,FL.4,partial
OR447505.1,Thailand,XBB.1.16.1,partial
OR447506.1,Thailand,XBB.1.16.3,partial
OR447507.1,Thailand,XBB.1.16,partial
OR447508.1,Thailand,XBB.1.16,partial
OR447509.1,Thailand,XBB.1.5.57,partial
OR447510.1,Thailand,XBB.1.16,partial
OR447511.1,Thailand,FL.4,partial
OR447512.1,Thailand,FL.5,partial
OR447513.1,Thailand,XBB.1.16,partial
OR447514.1,Thailand,XBB.1.16,partial
OR447515.1,Thailand,XBB.2.3.11,partial
OR447516.1,Thailand,XBB.1.16,partial
OR447517.1,Thailand,XBB.1.16.1,partial
OR447518.1,Thailand,XBB.1.16,partial
OR447519.1,Thailand,XBB.1.16.2,partial
OR447520.1,Thailand,XBB.1.16,partial
OR447521.1,Thailand,XBB.1.16,partial
OR447522.1,Thailand,XBB.1.5,partial
OR447523.1,Thailand,XBB.1.9.2,partial
OR447524.1,Thailand,XBB.1.16,partial
OR447525.1,Thailand,XBB.1.16.1,partial
OR447526.1,Thailand,XBB.1.5,partial
OR447527.1,Thailand,XBB.1.5,partial
OR447528.1,Thailand,XBB.1.9.2,partial
OR432315.1,South Korea,B.1.497,complete
OR432337.1,South Korea,B.1.497,partial
OR418406.1,Laos,FL.2,partial
OR414382.1,Laos,AY.85,partial
OR414383.1,Laos,AY.30,partial
OR414384.1,Laos,AY.30,complete
OR414385.1,Laos,AY.30,complete
OR414386.1,Laos,AY.1,complete
OR414387.1,Laos,AY.1,complete
OR414388.1,Laos,AY.85,complete
OR414389.1,Laos,AY.85,complete
OR414390.1,Laos,AY.85,complete
OR414391.1,Laos,AY.85,complete
OR414392.1,Laos,AY.85,complete
OR414393.1,Laos,AY.85,partial
OR414394.1,Laos,AY.85,complete
OR414395.1,Laos,AY.1,complete
OR414396.1,Laos,AY.1,complete
OR414397.1,Laos,AY.1,complete
OR414398.1,Laos,AY.1,complete
OR414399.1,Laos,AY.1,complete
OR414400.1,Laos,AY.1,complete
OR414401.1,Laos,AY.1,complete
OR414402.1,Laos,AY.1,complete
OR414403.1,Laos,AY.1,complete
OR414404.1,Laos,AY.1,complete
OR414405.1,Laos,AY.1,complete
OR414406.1,Laos,AY.1,complete
OR414407.1,Laos,AY.1,complete
OR414408.1,Laos,AY.1,partial
OR414409.1,Laos,AY.85,partial
OR414410.1,Laos,AY.1,complete
OR414411.1,Laos,AY.1,partial
OR414412.1,Laos,AY.1,complete
OR414413.1,Laos,AY.85,partial
OR414414.1,Laos,AY.1,complete
OR414415.1,Laos,AY.1,partial
OR414416.1,Laos,AY.1,complete
OR414417.1,Laos,AY.1,partial
OR414418.1,Laos,AY.1,complete
OR414419.1,Laos,AY.85,partial
OR414420.1,Laos,AY.1,partial
OR414421.1,Laos,AY.1,complete
OR414422.1,Laos,AY.1,complete
OR414423.1,Laos,AY.1,partial
OR414424.1,Laos,AY.1,partial
OR414425.1,Laos,AY.1,partial
OR414426.1,Laos,AY.1,complete
OR414427.1,Laos,AY.85,complete
OR414428.1,Laos,AY.85,complete
OR414429.1,Laos,AY.1,complete
OR414430.1,Laos,AY.1,partial
OR414431.1,Laos,AY.1,complete
OR414432.1,Laos,AY.1,complete
OR414433.1,Laos,AY.1,complete
OR414434.1,Laos,AY.1,partial
OR414435.1,Laos,AY.1,partial
OR414436.1,Laos,AY.1,complete
OR414437.1,Laos,AY.1,complete
OR414438.1,Laos,AY.1,complete
OR414439.1,Laos,AY.1,partial
OR414440.1,Laos,BN.1.2,partial
OR414441.1,Laos,BN.1.3,partial
OR414442.1,Laos,BN.1.3,partial
OR414443.1,Laos,BN.1.3.5,partial
OR414444.1,Laos,BN.1.3.6,partial
OR414445.1,Laos,BN.1.3.6,partial
OR414446.1,Laos,EJ.1,partial
OR414449.1,Laos,AY.85,partial
OR414450.1,Laos,AY.85,complete
OR414451.1,Laos,AY.85,partial
OR414452.1,Laos,AY.85,partial
OR414453.1,Laos,AY.85,partial
OR414454.1,Laos,AY.85,complete
OR414455.1,Laos,AY.85,partial
OR414456.1,Laos,AY.85,complete
OR414457.1,Laos,AY.85,partial
OR414458.1,Laos,AY.85,partial
OR414459.1,Laos,AY.85,partial
OR414460.1,Laos,AY.85,partial
OR414461.1,Laos,AY.85,partial
OR414462.1,Laos,AY.85,partial
OR414463.1,Laos,AY.85,complete
OR414464.1,Laos,AY.85,complete
OR414465.1,Laos,AY.85,partial
OR414466.1,Laos,AY.85,partial
OR414467.1,Laos,AY.85,complete
OR414468.1,Laos,AY.85,partial
OR414469.1,Laos,AY.85,partial
OR414470.1,Laos,AY.85,complete
OR414471.1,Laos,AY.85,partial
OR414472.1,Laos,AY.85,complete
OR414473.1,Laos,AY.85,partial
OR414474.1,Laos,AY.85,complete
OR414475.1,Laos,AY.85,partial
OR414476.1,Laos,AY.85,partial
OR414477.1,Laos,AY.85,partial
OR414478.1,Laos,AY.85,complete
OR414479.1,Laos,AY.85,partial
OR414480.1,Laos,AY.85,partial
OR414481.1,Laos,AY.1,complete
OR414482.1,Laos,AY.1,complete
OR414483.1,Laos,AY.1,complete
OR414484.1,Laos,AY.1,complete
OR414485.1,Laos,AY.1,complete
OR414486.1,Laos,AY.1,complete
OR414487.1,Laos,AY.1,complete
OR414488.1,Laos,AY.1,complete
OR414489.1,Laos,AY.1,complete
OR414490.1,Laos,AY.1,complete
OR414491.1,Laos,AY.1,complete
OR414492.1,Laos,AY.1,complete
OR414493.1,Laos,AY.1,complete
OR414494.1,Laos,AY.1,complete
OR414495.1,Laos,AY.1,complete
OR414496.1,Laos,AY.1,partial
OR414497.1,Laos,AY.1,complete
OR414498.1,Laos,AY.1,partial
OR414499.1,Laos,AY.1,complete
OR414500.1,Laos,AY.1,complete
OR414501.1,Laos,AY.1,complete
OR414502.1,Laos,AY.1,complete
OR414503.1,Laos,AY.85,complete
OR414504.1,Laos,AY.1,complete
OR414505.1,Laos,AY.1,complete
OR414506.1,Laos,AY.1,complete
OR414507.1,Laos,AY.1,complete
OR414508.1,Laos,AY.1,complete
OR414509.1,Laos,AY.1,complete
OR414510.1,Laos,AY.1,complete
OR414511.1,Laos,AY.1,complete
OR414512.1,Laos,AY.1,complete
OR414513.1,Laos,AY.1,complete
OR414514.1,Laos,AY.1,complete
OR414515.1,Laos,AY.1,complete
OR414516.1,Laos,AY.1,complete
OR414517.1,Laos,AY.1,complete
OR414518.1,Laos,AY.1,complete
OR414519.1,Laos,AY.1,complete
OR414520.1,Laos,BN.1.3.6,partial
OR414521.1,Laos,BN.1.3.6,partial
OR414522.1,Laos,BN.1.2,partial
OR414523.1,Laos,BN.1.3,partial
OR414524.1,Laos,BN.1.3.7,partial
OR414525.1,Laos,BN.1.3.5,partial
OR414526.1,Laos,BN.1.3.6,partial
OR414531.1,Laos,AY.1,partial
OR414532.1,Laos,BN.1.2,partial
OR414533.1,Laos,BR.1,partial
OR414534.1,Laos,AY.85,complete
OR414535.1,Laos,AY.1,complete
OR414536.1,Laos,AY.1,complete
OR414537.1,Laos,AY.1,complete
OR414538.1,Laos,AY.1,partial
OR414539.1,Laos,AY.1,complete
OR414540.1,Laos,AY.30,partial
OR414541.1,Laos,AY.30,partial
OR414542.1,Laos,AY.85,partial
OR414543.1,Laos,AY.1,complete
OR414544.1,Laos,AY.1,complete
OR414545.1,Laos,AY.1,complete
OR414546.1,Laos,AY.1,complete
OR414547.1,Laos,AY.1,complete
OR414548.1,Laos,AY.1,complete
OR414549.1,Laos,AY.1,partial
OR414550.1,Laos,AY.1,complete
OR414551.1,Laos,AY.1,complete
OR414552.1,Laos,AY.1,complete
OR414553.1,Laos,AY.85,complete
OR414554.1,Laos,AY.1,complete
OR414555.1,Laos,AY.1,complete
OR414556.1,Laos,AY.1,complete
OR414557.1,Laos,AY.1,complete
OR414558.1,Laos,AY.1,complete
OR414559.1,Laos,AY.1,complete
OR414560.1,Laos,AY.1,complete
OR414561.1,Laos,AY.1,complete
OR414562.1,Laos,AY.1,complete
OR414563.1,Laos,AY.1,complete
OR414564.1,Laos,AY.1,complete
OR414565.1,Laos,AY.1,complete
OR414566.1,Laos,AY.1,complete
OR414567.1,Laos,AY.1,complete
OR414568.1,Laos,AY.1,complete
OR414569.1,Laos,AY.1,complete
OR414570.1,Laos,AY.1,complete
OR414571.1,Laos,AY.1,complete
OR414572.1,Laos,AY.1,complete
OR414573.1,Laos,AY.1,complete
OR414574.1,Laos,AY.1,complete
OR414575.1,Laos,AY.1,complete
OR414576.1,Laos,AY.1,complete
OR414577.1,Laos,AY.1,complete
OR414578.1,Laos,AY.1,complete
OR414579.1,Laos,AY.1,complete
OR414580.1,Laos,AY.85,complete
OR414581.1,Laos,AY.85,complete
OR414582.1,Laos,AY.1,complete
OR414583.1,Laos,AY.1,complete
OR414584.1,Laos,AY.1,complete
OR414585.1,Laos,AY.1,complete
OR414586.1,Laos,AY.1,complete
OR414587.1,Laos,AY.1,complete
OR414588.1,Laos,AY.1,complete
OR414589.1,Laos,AY.1,complete
OR414634.1,Laos,AY.1,complete
OR414635.1,Laos,AY.1,complete
OR414636.1,Laos,AY.1,complete
OR414637.1,Laos,AY.1,complete
OR414638.1,Laos,AY.1,complete
OR414639.1,Laos,AY.1,partial
OR414640.1,Laos,AY.1,partial
OR414641.1,Laos,AY.1,complete
OR414642.1,Laos,AY.1,partial
OR414643.1,Laos,AY.1,complete
OR414644.1,Laos,AY.1,partial
OR414645.1,Laos,AY.1,complete
OR414646.1,Laos,AY.1,complete
OR414647.1,Laos,AY.1,complete
OR414648.1,Laos,AY.1,complete
OR414649.1,Laos,AY.1,complete
OR414650.1,Laos,AY.1,partial
OR414651.1,Laos,AY.1,partial
OR414652.1,Laos,AY.1,partial
OR414653.1,Laos,AY.1,complete
OR414654.1,Laos,AY.1,complete
OR414655.1,Laos,AY.1,complete
OR414656.1,Laos,AY.1,complete
OR414657.1,Laos,AY.1,complete
OR414658.1,Laos,AY.85,complete
OR414659.1,Laos,AY.1,complete
OR414660.1,Laos,AY.1,partial
OR414661.1,Laos,AY.1,partial
OR414662.1,Laos,AY.1,complete
OR414663.1,Laos,AY.1,complete
OR414664.1,Laos,AY.1,complete
OR414665.1,Laos,AY.1,complete
OR414666.1,Laos,AY.1,partial
OR414667.1,Laos,AY.1,complete
OR414668.1,Laos,AY.1,complete
OR414669.1,Laos,AY.85,complete
OR414670.1,Laos,AY.1,partial
OR414671.1,Laos,AY.30,partial
OR414672.1,Laos,AY.30,partial
OR414673.1,Laos,AY.1,partial
OR414674.1,Laos,AY.1,complete
OR414675.1,Laos,AY.1,complete
OR414676.1,Laos,AY.1,partial
OR414677.1,Laos,AY.1,complete
OR414678.1,Laos,AY.1,complete
OR414679.1,Laos,AY.1,complete
OR414680.1,Laos,AY.1,complete
OR414681.1,Laos,AY.1,complete
OR414682.1,Laos,AY.1,complete
OR414683.1,Laos,AY.31,complete
OR414684.1,Laos,AY.1,complete
OR414685.1,Laos,AY.1,complete
OR414686.1,Laos,AY.1,partial
OR414687.1,Laos,AY.1,complete
OR414688.1,Laos,AY.1,complete
OR414689.1,Laos,AY.1,complete
OR414690.1,Laos,AY.1,complete
OR414691.1,Laos,AY.1,partial
OR414692.1,Laos,AY.1,complete
OR414693.1,Laos,AY.1,complete
OR414694.1,Laos,AY.1,complete
OR414695.1,Laos,AY.1,complete
OR414696.1,Laos,AY.1,complete
OR414697.1,Laos,AY.85,complete
OR414698.1,Laos,AY.85,complete
OR414699.1,Laos,AY.85,complete
OR414700.1,Laos,AY.1,complete
OR414701.1,Laos,AY.1,complete
OR414702.1,Laos,AY.1,complete
OR414703.1,Laos,AY.1,complete
OR414704.1,Laos,AY.1,complete
OR414705.1,Laos,AY.1,complete
OR414706.1,Laos,AY.1,complete
OR414707.1,Laos,AY.1,complete
OR414708.1,Laos,AY.1,complete
OR414709.1,Laos,AY.1,complete
OR414710.1,Laos,AY.1,complete
OR414711.1,Laos,AY.85,complete
OR414712.1,Laos,AY.85,complete
OR414713.1,Laos,AY.85,partial
OR414715.1,Laos,AY.30,partial
OR414716.1,Laos,AY.31,complete
OR414717.1,Laos,AY.1,complete
OR414718.1,Laos,AY.1,complete
OR414719.1,Laos,AY.85,complete
OR414720.1,Laos,AY.1,partial
OR414721.1,Laos,AY.1,complete
OR414722.1,Laos,AY.1,complete
OR414723.1,Laos,AY.1,complete
OR414724.1,Laos,AY.1,complete
OR414725.1,Laos,AY.1,complete
OR414726.1,Laos,AY.1,complete
OR414727.1,Laos,AY.85,complete
OR414728.1,Laos,AY.85,complete
OR414729.1,Laos,AY.30,complete
OR414730.1,Laos,AY.30,partial
OR414731.1,Laos,AY.30,complete
OR414732.1,Laos,AY.30,partial
OR414733.1,Laos,AY.30,partial
OR414734.1,Laos,AY.30,partial
OR414735.1,Laos,AY.30,complete
OR414736.1,Laos,AY.30,complete
OR414737.1,Laos,AY.30,complete
OR414738.1,Laos,AY.30,complete
OR414739.1,Laos,AY.1,complete
OR414740.1,Laos,AY.1,complete
OR414741.1,Laos,AY.1,complete
OR414742.1,Laos,AY.1,complete
OR414743.1,Laos,AY.1,complete
OR414744.1,Laos,AY.1,complete
OR414745.1,Laos,AY.1,complete
OR414746.1,Laos,AY.1,complete
OR414747.1,Laos,AY.1,complete
OR414748.1,Laos,AY.85,complete
OR414749.1,Laos,AY.1,complete
OR414750.1,Laos,B.1.1.7,partial
OR414751.1,Laos,B.1.1.7,partial
OR414752.1,Laos,AY.1,complete
OR414753.1,Laos,AY.1,complete
OR414754.1,Laos,AY.1,complete
OR414755.1,Laos,AY.1,complete
OR414756.1,Laos,AY.1,complete
OR414757.1,Laos,AY.1,complete
OR414758.1,Laos,AY.1,complete
OR414759.1,Laos,AY.1,complete
OR414760.1,Laos,AY.1,partial
OR414761.1,Laos,AY.1,complete
OR414762.1,Laos,AY.1,complete
OR414763.1,Laos,AY.1,complete
OR414764.1,Laos,AY.1,complete
OR414765.1,Laos,AY.1,complete
OR414766.1,Laos,AY.85,complete
OR414767.1,Laos,AY.85,complete
OR414768.1,Laos,AY.1,complete
OR414769.1,Laos,AY.85,complete
OR414770.1,Laos,AY.1,complete
OR414771.1,Laos,AY.1,complete
OR414772.1,Laos,AY.1,complete
OR414773.1,Laos,AY.1,complete
OR414774.1,Laos,AY.85,complete
OR414775.1,Laos,AY.85,complete
OR414776.1,Laos,AY.85,partial
OR414777.1,Laos,AY.85,complete
OR414778.1,Laos,AY.85,partial
OR414779.1,Laos,AY.85,partial
OR414780.1,Laos,AY.30,complete
OR414781.1,Laos,AY.30,partial
OR414792.1,Laos,AY.1,partial
OR414793.1,Laos,AY.1,partial
OR414794.1,Laos,AY.1,partial
OR414795.1,Laos,AY.1,complete
OR414796.1,Laos,AY.1,partial
OR414797.1,Laos,AY.85,partial
OR414798.1,Laos,AY.30,partial
OR414799.1,Laos,AY.30,complete
OR414800.1,Laos,AY.30,partial
OR414801.1,Laos,AY.1,partial
OR414802.1,Laos,AY.1,complete
OR414803.1,Laos,AY.1,complete
OR414804.1,Laos,AY.1,partial
OR414805.1,Laos,AY.1,complete
OR414806.1,Laos,AY.1,complete
OR414807.1,Laos,AY.1,partial
OR414808.1,Laos,AY.1,complete
OR414809.1,Laos,AY.1,complete
OR414810.1,Laos,AY.1,partial
OR414811.1,Laos,AY.1,complete
OR414812.1,Laos,AY.1,partial
OR414813.1,Laos,AY.1,partial
OR414814.1,Laos,AY.1,partial
OR414815.1,Laos,AY.1,complete
OR414816.1,Laos,AY.1,complete
